location_1,location_2,distance
Australian_Capital_Territory,Yunnan,1392.15232535
Australian_Capital_Territory,Zhejiang,1208.79065898
Australian_Capital_Territory,Greece,1418.98455802
Australian_Capital_Territory,Norway,1135.9614622
Australian_Capital_Territory,Romania,1264.2430249
Australian_Capital_Territory,Slovakia,1085.46473983
Australian_Capital_Territory,Spain,1280.04426099
Australian_Capital_Territory,Portugal,1359.90225971
Australian_Capital_Territory,Ireland,1047.047118
Australian_Capital_Territory,France,1249.85984278
Australian_Capital_Territory,Slovenia,1415.47482573
Australian_Capital_Territory,Netherlands,1141.25910749
Australian_Capital_Territory,Finland,1314.49039335
Australian_Capital_Territory,Austria,1275.01144074
Australian_Capital_Territory,United-Kingdom,1183.91323309
Australian_Capital_Territory,Italy,1433.40340768
Australian_Capital_Territory,Germany,1458.39532091
Australian_Capital_Territory,Lithuania,1205.69448526
Australian_Capital_Territory,Denmark,1167.07325478
Australian_Capital_Territory,Latvia,1353.86273148
Australian_Capital_Territory,Estonia,1289.34627214
Australian_Capital_Territory,Hungary,1311.51226458
Australian_Capital_Territory,Luxembourg,1139.53166376
Australian_Capital_Territory,Bulgaria,1418.24718659
Australian_Capital_Territory,Czech,1245.73091836
Australian_Capital_Territory,Switzerland,1276.0701104
Australian_Capital_Territory,Sweden,1363.50503101
Australian_Capital_Territory,Cyprus,959.011464636
Australian_Capital_Territory,Uttar_Pradesh,1761.95573684
Australian_Capital_Territory,Rajasthan,1684.55630284
Australian_Capital_Territory,Haryana,1582.43125611
Australian_Capital_Territory,Puducherry,1350.76360267
Australian_Capital_Territory,West_Bengal,1549.3192709
Australian_Capital_Territory,Andhra_Pradesh,1478.2260112
Australian_Capital_Territory,Arunachal_Pradesh,2003.84086387
Australian_Capital_Territory,Sikkim,1685.53724585
Australian_Capital_Territory,Assam,1804.93539458
Australian_Capital_Territory,Uttarakhand,1600.60798949
Australian_Capital_Territory,Tamil_Nadu,1371.05835615
Australian_Capital_Territory,Mizoram,1742.44644528
Australian_Capital_Territory,Himachal_Pradesh,1545.2248805
Australian_Capital_Territory,Meghalaya,2013.55265538
Australian_Capital_Territory,Gujarat,1557.01678526
Australian_Capital_Territory,Odisha,1490.01524576
Australian_Capital_Territory,Maharashtra,1483.7609855
Australian_Capital_Territory,Nct_of_Delhi,1646.45696067
Australian_Capital_Territory,Chhattisgarh,1635.57338459
Australian_Capital_Territory,Manipur,1633.49869277
Australian_Capital_Territory,Bihar,1771.6800258
Australian_Capital_Territory,Tripura,1688.23338523
Australian_Capital_Territory,Jammu_and_Kashmir,1701.68708695
Australian_Capital_Territory,Punjab,1577.49028674
Australian_Capital_Territory,Goa,1315.12571632
Australian_Capital_Territory,Madhya_Pradesh,1622.94026841
Australian_Capital_Territory,Jharkhand,1678.3822253
Australian_Capital_Territory,Andaman_and_Nicobar_Islands,1563.38832703
Australian_Capital_Territory,Karnataka,1544.0720527
Australian_Capital_Territory,Daman_and_Diu,2200.00322112
Australian_Capital_Territory,Nagaland,1900.46177611
Australian_Capital_Territory,Kerala,1417.02288077
Australian_Capital_Territory,Aichi-ken,1539.7330442
Australian_Capital_Territory,Akita-ken,2038.41604884
Australian_Capital_Territory,Aomori-ken,1887.13382895
Australian_Capital_Territory,Chiba-ken,1661.35717036
Australian_Capital_Territory,Ehime-ken,1751.74934492
Australian_Capital_Territory,Fukui-ken,1754.45355955
Australian_Capital_Territory,Fukuoka-ken,1536.14835712
Australian_Capital_Territory,Fukushima-ken,1796.04005874
Australian_Capital_Territory,Gifu-ken,1732.78943755
Australian_Capital_Territory,Gumma-ken,1673.62417605
Australian_Capital_Territory,Hiroshima-ken,1619.32031394
Australian_Capital_Territory,Hokkaido,1727.10767154
Australian_Capital_Territory,Hyogo-ken,1623.30486214
Australian_Capital_Territory,Ibaraki-ken,1680.32412898
Australian_Capital_Territory,Ishikawa-ken,1682.76926679
Australian_Capital_Territory,Iwate-ken,1866.13656256
Australian_Capital_Territory,Kagawa-ken,1708.78861948
Australian_Capital_Territory,Kagoshima-ken,1710.8592905
Australian_Capital_Territory,Kanagawa-ken,1583.51670324
Australian_Capital_Territory,Kochi-ken,1840.44573351
Australian_Capital_Territory,Kumamoto-ken,1672.2440555
Australian_Capital_Territory,Kyoto-fu,1759.42323024
Australian_Capital_Territory,Mie-ken,1688.12128534
Australian_Capital_Territory,Miyagi-ken,1627.85963569
Australian_Capital_Territory,Miyazaki-ken,1703.47597956
Australian_Capital_Territory,Nagano-ken,1859.77002894
Australian_Capital_Territory,Nagasaki-ken,1727.66262854
Australian_Capital_Territory,Nara-ken,1674.35245191
Australian_Capital_Territory,Niigata-ken,1818.84161916
Australian_Capital_Territory,Oita-ken,1705.65541912
Australian_Capital_Territory,Okayama-ken,1647.36242885
Australian_Capital_Territory,Okinawa-ken,1296.9870206
Australian_Capital_Territory,Osaka-fu,1582.91159766
Australian_Capital_Territory,Saga-ken,1684.20745765
Australian_Capital_Territory,Saitama-ken,1623.94242169
Australian_Capital_Territory,Shiga-ken,1495.74728689
Australian_Capital_Territory,Shimane-ken,1859.99063547
Australian_Capital_Territory,Shizuoka-ken,1746.97516878
Australian_Capital_Territory,Tochigi-ken,1682.33551601
Australian_Capital_Territory,Tokushima-ken,1776.79756293
Australian_Capital_Territory,Tokyo-to,1757.10226714
Australian_Capital_Territory,Tottori-ken,1764.23430538
Australian_Capital_Territory,Toyama-ken,1834.39538083
Australian_Capital_Territory,Wakayama-ken,1782.75586488
Australian_Capital_Territory,Yamagata-ken,1886.48287624
Australian_Capital_Territory,Yamaguchi-ken,1791.14344519
Australian_Capital_Territory,Yamanashi-ken,1787.26004788
Australian_Capital_Territory,Adygea,1109.54372594
Australian_Capital_Territory,Altai_Krai,1201.91366143
Australian_Capital_Territory,Altai_Republic,1174.60231299
Australian_Capital_Territory,Amur_Oblast,1038.50886351
Australian_Capital_Territory,Arkhangelsk_Oblast,1112.71247667
Australian_Capital_Territory,Astrakhan_Oblast,1069.72508478
Australian_Capital_Territory,Bashkortostan,1128.2530738
Australian_Capital_Territory,Belgorod_Oblast,1209.43213259
Australian_Capital_Territory,Bryansk_Oblast,1202.50108874
Australian_Capital_Territory,Buryatia,1072.31140551
Australian_Capital_Territory,Chechnya,1858.42684726
Australian_Capital_Territory,Chelyabinsk_Oblast,1087.25772406
Australian_Capital_Territory,Chukotka,1815.11673407
Australian_Capital_Territory,Chuvashia,1126.21073575
Australian_Capital_Territory,Dagestan,1416.43907603
Australian_Capital_Territory,Ingushetia,1879.20740313
Australian_Capital_Territory,Irkutsk_Oblast,1002.23487361
Australian_Capital_Territory,Ivanovo_Oblast,1291.99885717
Australian_Capital_Territory,Jewish_Autonomous_Oblast,1025.94324672
Australian_Capital_Territory,Kabardino_Balkaria,1219.24015414
Australian_Capital_Territory,Kaliningrad_Oblast,1066.44229956
Australian_Capital_Territory,Kalmykia,1158.86995217
Australian_Capital_Territory,Kaluga_Oblast,1195.82554904
Australian_Capital_Territory,Kamchatka_Krai,1151.11777828
Australian_Capital_Territory,Karachay_Cherkessia,1240.91915871
Australian_Capital_Territory,Karelia,1147.17417102
Australian_Capital_Territory,Kemerovo_Oblast,1104.60256866
Australian_Capital_Territory,Khabarovsk_Krai,1023.23523285
Australian_Capital_Territory,Khakassia,1069.25781074
Australian_Capital_Territory,Khanty_Mansi_Autonomous_Okrug,1487.88394492
Australian_Capital_Territory,Kirov_Oblast,1278.06540494
Australian_Capital_Territory,Komi_Republic,1095.63588552
Australian_Capital_Territory,Kostroma_Oblast,1257.21823938
Australian_Capital_Territory,Krasnodar_Krai,1100.88707654
Australian_Capital_Territory,Krasnoyarsk_Krai,1040.74495504
Australian_Capital_Territory,Kurgan_Oblast,1259.43289942
Australian_Capital_Territory,Kursk_Oblast,1274.01360028
Australian_Capital_Territory,Leningrad_Oblast,1206.00744396
Australian_Capital_Territory,Lipetsk_Oblast,1229.73438849
Australian_Capital_Territory,Magadan_Oblast,1354.16657998
Australian_Capital_Territory,Mari_El,1135.91392797
Australian_Capital_Territory,Mordovia,1210.74585026
Australian_Capital_Territory,Moscow_Oblast,1180.03599144
Australian_Capital_Territory,Moscow,1201.13586917
Australian_Capital_Territory,Murmansk_Oblast,1135.58908144
Australian_Capital_Territory,Nenets_Autonomous_Okrug,1155.8448927
Australian_Capital_Territory,Nizhny_Novgorod_Oblast,1193.42398884
Australian_Capital_Territory,North_Ossetia_Alania,1271.67874685
Australian_Capital_Territory,Novgorod_Oblast,1263.90397198
Australian_Capital_Territory,Novosibirsk_Oblast,1110.25702088
Australian_Capital_Territory,Omsk_Oblast,1117.01214907
Australian_Capital_Territory,Orenburg_Oblast,1134.96747487
Australian_Capital_Territory,Oryol_Oblast,1241.78125063
Australian_Capital_Territory,Penza_Oblast,1219.5745046
Australian_Capital_Territory,Perm_Krai,1072.00378219
Australian_Capital_Territory,Primorsky_Krai,1040.8875108
Australian_Capital_Territory,Pskov_Oblast,1275.93350143
Australian_Capital_Territory,Rostov_Oblast,1141.13945001
Australian_Capital_Territory,Ryazan_Oblast,1285.48037406
Australian_Capital_Territory,Sakha,1183.58076963
Australian_Capital_Territory,Sakhalin_Oblast,1100.57237186
Australian_Capital_Territory,Samara_Oblast,1109.32219113
Australian_Capital_Territory,Saratov_Oblast,1150.14753904
Australian_Capital_Territory,Smolensk_Oblast,1225.2943271
Australian_Capital_Territory,St._Petersburg,1257.84174603
Australian_Capital_Territory,Stavropol_Krai,1078.808415
Australian_Capital_Territory,Sverdlovsk_Oblast,1111.6563218
Australian_Capital_Territory,Tambov_Oblast,1316.56533402
Australian_Capital_Territory,Tatarstan,1097.59251864
Australian_Capital_Territory,Tomsk_Oblast,1025.50195112
Australian_Capital_Territory,Tula_Oblast,1281.7933373
Australian_Capital_Territory,Tuva,1541.04674795
Australian_Capital_Territory,Tver_Oblast,1287.76142778
Australian_Capital_Territory,Tyumen_Oblast,1090.68460422
Australian_Capital_Territory,Udmurtia,1078.84372642
Australian_Capital_Territory,Ulyanovsk_Oblast,1228.75023701
Australian_Capital_Territory,Vladimir_Oblast,1245.08366856
Australian_Capital_Territory,Volgograd_Oblast,1129.3227814
Australian_Capital_Territory,Vologda_Oblast,1201.97848468
Australian_Capital_Territory,Voronezh_Oblast,1291.20838303
Australian_Capital_Territory,Yamalo_Nenets_Autonomous_Okrug,1856.64500694
Australian_Capital_Territory,Yaroslavl_Oblast,1235.42124441
Australian_Capital_Territory,Zabaykalsky_Krai,1054.87682951
Australian_Capital_Territory,Eastern_Cape,1599.01759849
Australian_Capital_Territory,Free_State,1370.38092984
Australian_Capital_Territory,Gauteng,1423.32005044
Australian_Capital_Territory,KwaZulu-Natal,1562.3879534
Australian_Capital_Territory,Limpopo,1767.35785686
Australian_Capital_Territory,Mpumalanga,1633.73097358
Australian_Capital_Territory,Northern_Cape,1345.39606305
Australian_Capital_Territory,North_West,1364.5352817
Australian_Capital_Territory,Western_Cape,1110.1283365
Australian_Capital_Territory,Alabama,895.540368948
Australian_Capital_Territory,Alaska,943.015234871
Australian_Capital_Territory,Arizona,908.829109062
Australian_Capital_Territory,Arkansas,967.625073603
Australian_Capital_Territory,California,786.680320879
Australian_Capital_Territory,Colorado,685.449051444
Australian_Capital_Territory,Connecticut,972.057740919
Australian_Capital_Territory,Delaware,955.128038977
Australian_Capital_Territory,District_of_Columbia,1081.2509381
Australian_Capital_Territory,Florida,1039.70380043
Australian_Capital_Territory,Georgia,805.226668528
Australian_Capital_Territory,Hawaii,1126.42210993
Australian_Capital_Territory,Idaho,835.005167185
Australian_Capital_Territory,Illinois,793.840958887
Australian_Capital_Territory,Indiana,854.36187356
Australian_Capital_Territory,Iowa,930.058487881
Australian_Capital_Territory,Kansas,842.74594328
Australian_Capital_Territory,Kentucky,877.96262387
Australian_Capital_Territory,Louisiana,857.684095217
Australian_Capital_Territory,Maine,1091.14213217
Australian_Capital_Territory,Maryland,829.285380526
Australian_Capital_Territory,Massachusetts,865.350114772
Australian_Capital_Territory,Michigan,877.417121303
Australian_Capital_Territory,Minnesota,765.980440885
Australian_Capital_Territory,Mississippi,965.805340611
Australian_Capital_Territory,Missouri,893.746176265
Australian_Capital_Territory,Montana,1005.10914613
Australian_Capital_Territory,Nebraska,881.936706159
Australian_Capital_Territory,Nevada,806.568210239
Australian_Capital_Territory,New_Hampshire,1041.83300126
Australian_Capital_Territory,New_Jersey,931.077026412
Australian_Capital_Territory,New_Mexico,939.590252773
Australian_Capital_Territory,New_York,826.192021381
Australian_Capital_Territory,North_Carolina,818.309620554
Australian_Capital_Territory,North_Dakota,934.730870123
Australian_Capital_Territory,Ohio,910.161630917
Australian_Capital_Territory,Oklahoma,897.891179109
Australian_Capital_Territory,Oregon,860.670828835
Australian_Capital_Territory,Pennsylvania,993.265054478
Australian_Capital_Territory,Puerto_Rico,1179.49974349
Australian_Capital_Territory,Rhode_Island,929.359355185
Australian_Capital_Territory,South_Carolina,877.65699262
Australian_Capital_Territory,South_Dakota,952.733082127
Australian_Capital_Territory,Tennessee,892.740881756
Australian_Capital_Territory,Texas,779.238206013
Australian_Capital_Territory,Utah,775.777915745
Australian_Capital_Territory,Vermont,1175.5455081
Australian_Capital_Territory,Virginia,790.236741789
Australian_Capital_Territory,Washington,784.220473299
Australian_Capital_Territory,West_Virginia,1092.56583957
Australian_Capital_Territory,Wisconsin,857.964944044
Australian_Capital_Territory,Wyoming,952.588887426
Australian_Capital_Territory,Israel,822.493611147
New_South_Wales,Australian_Capital_Territory,576.134236731
New_South_Wales,New_South_Wales,0.0
New_South_Wales,Northern_Territory,973.44083662
New_South_Wales,Queensland,301.702625584
New_South_Wales,South_Australia,326.122926101
New_South_Wales,Tasmania,441.451856979
New_South_Wales,Victoria,248.880145925
New_South_Wales,Western_Australia,362.904441697
New_South_Wales,Alberta,604.294570127
New_South_Wales,British_Columbia,630.458131092
New_South_Wales,Manitoba,555.670899886
New_South_Wales,New_Brunswick,721.851127256
New_South_Wales,Newfoundland_and_Labrador,807.939114572
New_South_Wales,Nova_Scotia,729.707031897
New_South_Wales,Ontario,547.933898226
New_South_Wales,Prince_Edward_Island,818.421153222
New_South_Wales,Quebec,600.872902241
New_South_Wales,Saskatchewan,589.753812449
New_South_Wales,Northwest_Territories,1511.53577557
New_South_Wales,Nunavut,1893.9160532
New_South_Wales,Yukon,1466.43955565
New_South_Wales,Anhui,1090.00503154
New_South_Wales,Beijing,1544.96570291
New_South_Wales,Chongqing,1098.30346586
New_South_Wales,Fujian,1199.59392215
New_South_Wales,Gansu,1259.27519846
New_South_Wales,Guangdong,1343.66418786
New_South_Wales,Guangxi,1134.46857689
New_South_Wales,Guizhou,1155.48137167
New_South_Wales,Hainan,1163.32973469
New_South_Wales,Hebei,1152.78897557
New_South_Wales,Heilongjiang,1212.59136031
New_South_Wales,Henan,1162.87317908
New_South_Wales,Hubei,1131.64372693
New_South_Wales,Hunan,1124.34092343
New_South_Wales,Inner_Mongolia,1208.8095021
New_South_Wales,Jiangsu,1102.71583641
New_South_Wales,Jiangxi,1169.44836502
New_South_Wales,Jilin,1193.95115197
New_South_Wales,Liaoning,1114.49425353
New_South_Wales,Ningxia,1281.17862602
New_South_Wales,Qinghai,1361.22191181
New_South_Wales,Shaanxi,1190.56338989
New_South_Wales,Shandong,1080.65145258
New_South_Wales,Shanghai,1457.92009463
New_South_Wales,Shanxi,1134.80490557
New_South_Wales,Sichuan,1113.06575732
New_South_Wales,Tianjin,1376.32815065
New_South_Wales,Tibet,1561.14870673
New_South_Wales,Xinjiang,1288.77649118
New_South_Wales,Yunnan,1248.04382375
New_South_Wales,Zhejiang,1185.34918724
New_South_Wales,Greece,1216.58219071
New_South_Wales,Norway,944.320927785
New_South_Wales,Romania,1149.57260592
New_South_Wales,Slovakia,1140.00904871
New_South_Wales,Spain,1116.08088369
New_South_Wales,Portugal,1176.94401207
New_South_Wales,Ireland,1079.5375118
New_South_Wales,France,1079.73350553
New_South_Wales,Slovenia,1254.35310584
New_South_Wales,Netherlands,1059.61576941
New_South_Wales,Finland,1108.65343254
New_South_Wales,Austria,1106.11373221
New_South_Wales,United-Kingdom,944.917281198
New_South_Wales,Italy,1192.04867391
New_South_Wales,Germany,1206.52443978
New_South_Wales,Lithuania,1041.86674301
New_South_Wales,Denmark,1046.6557471
New_South_Wales,Latvia,1183.993493
New_South_Wales,Estonia,1072.93461188
New_South_Wales,Hungary,1126.64568803
New_South_Wales,Luxembourg,1041.71827696
New_South_Wales,Bulgaria,1213.64283141
New_South_Wales,Czech,1092.63031407
New_South_Wales,Switzerland,1046.70335538
New_South_Wales,Sweden,1100.39364644
New_South_Wales,Cyprus,991.041495894
New_South_Wales,Uttar_Pradesh,1764.75317578
New_South_Wales,Rajasthan,1808.2465649
New_South_Wales,Haryana,1681.49389284
New_South_Wales,Puducherry,1404.96942016
New_South_Wales,West_Bengal,1564.01852181
New_South_Wales,Andhra_Pradesh,1615.54093924
New_South_Wales,Arunachal_Pradesh,2228.5408181
New_South_Wales,Sikkim,1804.28217615
New_South_Wales,Assam,1851.37166544
New_South_Wales,Uttarakhand,1639.91077347
New_South_Wales,Tamil_Nadu,1408.11449385
New_South_Wales,Mizoram,1816.85310032
New_South_Wales,Himachal_Pradesh,1415.2801944
New_South_Wales,Meghalaya,2193.22336312
New_South_Wales,Gujarat,1688.3655935
New_South_Wales,Odisha,1524.82246596
New_South_Wales,Maharashtra,1527.20830916
New_South_Wales,Nct_of_Delhi,1828.69837449
New_South_Wales,Chhattisgarh,1756.03159401
New_South_Wales,Manipur,1658.38462925
New_South_Wales,Bihar,1822.50331014
New_South_Wales,Tripura,1703.11587465
New_South_Wales,Jammu_and_Kashmir,1776.52524845
New_South_Wales,Punjab,1471.10489094
New_South_Wales,Goa,1261.37089196
New_South_Wales,Madhya_Pradesh,1665.7443464
New_South_Wales,Jharkhand,1821.15020408
New_South_Wales,Andaman_and_Nicobar_Islands,1755.70294466
New_South_Wales,Karnataka,1585.64767801
New_South_Wales,Daman_and_Diu,2450.83025875
New_South_Wales,Nagaland,1971.2896198
New_South_Wales,Kerala,1232.34384902
New_South_Wales,Aichi-ken,1305.53929958
New_South_Wales,Akita-ken,1786.05204377
New_South_Wales,Aomori-ken,1630.56929228
New_South_Wales,Chiba-ken,1409.07107796
New_South_Wales,Ehime-ken,1489.8009944
New_South_Wales,Fukui-ken,1501.58224283
New_South_Wales,Fukuoka-ken,1276.81866538
New_South_Wales,Fukushima-ken,1524.56927891
New_South_Wales,Gifu-ken,1479.70567198
New_South_Wales,Gumma-ken,1420.83284918
New_South_Wales,Hiroshima-ken,1364.33942563
New_South_Wales,Hokkaido,1455.27474308
New_South_Wales,Hyogo-ken,1359.17932179
New_South_Wales,Ibaraki-ken,1425.34988386
New_South_Wales,Ishikawa-ken,1440.3826869
New_South_Wales,Iwate-ken,1607.53224756
New_South_Wales,Kagawa-ken,1456.65609568
New_South_Wales,Kagoshima-ken,1415.12168415
New_South_Wales,Kanagawa-ken,1335.43634459
New_South_Wales,Kochi-ken,1585.31673256
New_South_Wales,Kumamoto-ken,1401.00834244
New_South_Wales,Kyoto-fu,1524.26518263
New_South_Wales,Mie-ken,1434.99318438
New_South_Wales,Miyagi-ken,1378.22268448
New_South_Wales,Miyazaki-ken,1419.57888703
New_South_Wales,Nagano-ken,1609.84738293
New_South_Wales,Nagasaki-ken,1446.3639786
New_South_Wales,Nara-ken,1409.43743914
New_South_Wales,Niigata-ken,1573.61435799
New_South_Wales,Oita-ken,1439.75259969
New_South_Wales,Okayama-ken,1403.98432672
New_South_Wales,Okinawa-ken,976.596282948
New_South_Wales,Osaka-fu,1334.49608313
New_South_Wales,Saga-ken,1394.66769532
New_South_Wales,Saitama-ken,1373.21891126
New_South_Wales,Shiga-ken,1240.91550807
New_South_Wales,Shimane-ken,1600.33068746
New_South_Wales,Shizuoka-ken,1499.03182904
New_South_Wales,Tochigi-ken,1432.34501631
New_South_Wales,Tokushima-ken,1520.56201498
New_South_Wales,Tokyo-to,1546.01743236
New_South_Wales,Tottori-ken,1504.08476185
New_South_Wales,Toyama-ken,1592.41205515
New_South_Wales,Wakayama-ken,1521.51097095
New_South_Wales,Yamagata-ken,1628.77892992
New_South_Wales,Yamaguchi-ken,1527.69886093
New_South_Wales,Yamanashi-ken,1542.22318289
New_South_Wales,Adygea,906.024751424
New_South_Wales,Altai_Krai,1053.69463475
New_South_Wales,Altai_Republic,1239.68208294
New_South_Wales,Amur_Oblast,1099.81252046
New_South_Wales,Arkhangelsk_Oblast,1018.1975016
New_South_Wales,Astrakhan_Oblast,930.588199331
New_South_Wales,Bashkortostan,984.001918487
New_South_Wales,Belgorod_Oblast,1029.91983466
New_South_Wales,Bryansk_Oblast,998.158933163
New_South_Wales,Buryatia,1095.67430553
New_South_Wales,Chechnya,1934.04352294
New_South_Wales,Chelyabinsk_Oblast,957.816660347
New_South_Wales,Chukotka,1920.23841346
New_South_Wales,Chuvashia,963.368573191
New_South_Wales,Dagestan,1449.61728196
New_South_Wales,Ingushetia,1931.69048218
New_South_Wales,Irkutsk_Oblast,981.313442823
New_South_Wales,Ivanovo_Oblast,1059.4250933
New_South_Wales,Jewish_Autonomous_Oblast,1088.89158309
New_South_Wales,Kabardino_Balkaria,1094.84856798
New_South_Wales,Kaliningrad_Oblast,938.19107463
New_South_Wales,Kalmykia,1139.03351327
New_South_Wales,Kaluga_Oblast,985.536322809
New_South_Wales,Kamchatka_Krai,1272.80002044
New_South_Wales,Karachay_Cherkessia,1061.01730617
New_South_Wales,Karelia,1019.79922452
New_South_Wales,Kemerovo_Oblast,1002.98917
New_South_Wales,Khabarovsk_Krai,1045.14041743
New_South_Wales,Khakassia,1043.32395435
New_South_Wales,Khanty_Mansi_Autonomous_Okrug,1675.89407657
New_South_Wales,Kirov_Oblast,1079.5577779
New_South_Wales,Komi_Republic,1184.85899182
New_South_Wales,Kostroma_Oblast,1044.48103931
New_South_Wales,Krasnodar_Krai,932.876372986
New_South_Wales,Krasnoyarsk_Krai,1018.49995897
New_South_Wales,Kurgan_Oblast,1053.45418033
New_South_Wales,Kursk_Oblast,1033.63805281
New_South_Wales,Leningrad_Oblast,1022.02120791
New_South_Wales,Lipetsk_Oblast,1012.46788559
New_South_Wales,Magadan_Oblast,1514.30668268
New_South_Wales,Mari_El,1020.60673062
New_South_Wales,Mordovia,1036.93937535
New_South_Wales,Moscow_Oblast,1011.45885697
New_South_Wales,Moscow,1051.23822329
New_South_Wales,Murmansk_Oblast,1231.25250002
New_South_Wales,Nenets_Autonomous_Okrug,1294.53247752
New_South_Wales,Nizhny_Novgorod_Oblast,1006.81778434
New_South_Wales,North_Ossetia_Alania,1017.80040388
New_South_Wales,Novgorod_Oblast,1028.91307609
New_South_Wales,Novosibirsk_Oblast,957.67288881
New_South_Wales,Omsk_Oblast,993.927394226
New_South_Wales,Orenburg_Oblast,1019.40799056
New_South_Wales,Oryol_Oblast,1017.53292493
New_South_Wales,Penza_Oblast,1011.05415977
New_South_Wales,Perm_Krai,953.500806728
New_South_Wales,Primorsky_Krai,1020.30614585
New_South_Wales,Pskov_Oblast,1025.69969051
New_South_Wales,Rostov_Oblast,974.33192136
New_South_Wales,Ryazan_Oblast,1021.79656934
New_South_Wales,Sakha,1354.07005638
New_South_Wales,Sakhalin_Oblast,1201.47507964
New_South_Wales,Samara_Oblast,975.884603824
New_South_Wales,Saratov_Oblast,984.795192286
New_South_Wales,Smolensk_Oblast,1018.06994182
New_South_Wales,St._Petersburg,1063.70760308
New_South_Wales,Stavropol_Krai,930.618739181
New_South_Wales,Sverdlovsk_Oblast,970.97020188
New_South_Wales,Tambov_Oblast,1056.85888934
New_South_Wales,Tatarstan,949.578341229
New_South_Wales,Tomsk_Oblast,1019.62236122
New_South_Wales,Tula_Oblast,1060.81185964
New_South_Wales,Tuva,1690.24255072
New_South_Wales,Tver_Oblast,1023.91321956
New_South_Wales,Tyumen_Oblast,1070.51432389
New_South_Wales,Udmurtia,1000.34509214
New_South_Wales,Ulyanovsk_Oblast,1027.9029776
New_South_Wales,Vladimir_Oblast,1006.36636295
New_South_Wales,Volgograd_Oblast,955.433977685
New_South_Wales,Vologda_Oblast,1033.8346836
New_South_Wales,Voronezh_Oblast,1046.65649915
New_South_Wales,Yamalo_Nenets_Autonomous_Okrug,2004.03506507
New_South_Wales,Yaroslavl_Oblast,1020.76550424
New_South_Wales,Zabaykalsky_Krai,1078.72508488
New_South_Wales,Eastern_Cape,1524.423072
New_South_Wales,Free_State,1537.13370771
New_South_Wales,Gauteng,1663.74881744
New_South_Wales,KwaZulu-Natal,1749.67782118
New_South_Wales,Limpopo,1722.50177007
New_South_Wales,Mpumalanga,1862.13495095
New_South_Wales,Northern_Cape,1472.72979148
New_South_Wales,North_West,1522.17513083
New_South_Wales,Western_Cape,1292.02116758
New_South_Wales,Alabama,543.932234104
New_South_Wales,Alaska,935.376553767
New_South_Wales,Arizona,510.167264658
New_South_Wales,Arkansas,575.10570419
New_South_Wales,California,515.382803091
New_South_Wales,Colorado,563.158578012
New_South_Wales,Connecticut,609.960080655
New_South_Wales,Delaware,565.331553473
New_South_Wales,District_of_Columbia,935.161628978
New_South_Wales,Florida,622.467248387
New_South_Wales,Georgia,637.172986107
